name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nanosec,max_mac_per_nanosec,avg_mac_per_nanosec
FIR.basic_loop_cnt,128,64,8192,OK,1.311302e-6,128,11107,11138,11107,11107,11138,11107,0.735500,0.737553,0.737553,0.735500,0.737553,0.737553
FIR.circular,128,64,8192,OK,1.072884e-6,128,98693,98693,98693,98693,98693,98693,0.083005,0.083005,0.083005,0.083005,0.083005,0.083005
FIR.circular_opt,128,64,8192,OK,1.311302e-6,128,9614,9632,9614,9614,9632,9614,0.850498,0.852091,0.852091,0.850498,0.852091,0.852091
FIR.lib,128,64,8192,OK,1.311302e-6,128,4421,4454,4421,4421,4454,4421,1.839246,1.852974,1.852974,1.839246,1.852974,1.852974
FIR.basic,128,128,16384,OK,1.311302e-6,64,21942,21986,21942,21942,21986,21942,0.745201,0.746696,0.746696,0.745201,0.746696,0.746696
FIR.basic_restrict,128,128,16384,OK,1.311302e-6,64,21942,21968,21942,21942,21968,21942,0.745812,0.746696,0.746696,0.745812,0.746696,0.746696
FIR.basic_dual_bank,128,128,16384,OK,1.311302e-6,64,21942,21970,21942,21942,21970,21942,0.745744,0.746696,0.746696,0.745744,0.746696,0.746696
FIR.basic_aligned,128,128,16384,OK,1.311302e-6,64,21942,21963,21942,21942,21963,21942,0.745982,0.746696,0.746696,0.745982,0.746696,0.746696
FIR.basic_loop_cnt,128,128,16384,OK,1.311302e-6,64,21155,21186,21155,21155,21186,21155,0.773341,0.774474,0.774474,0.773341,0.774474,0.774474
FIR.circular,128,128,16384,OK,1.072884e-6,64,197381,197381,197381,197381,197381,197381,0.083007,0.083007,0.083007,0.083007,0.083007,0.083007
FIR.circular_opt,128,128,16384,OK,1.311302e-6,64,19214,19232,19214,19214,19232,19214,0.851913,0.852712,0.852712,0.851913,0.852712,0.852712
FIR.lib,128,128,16384,OK,1.311302e-6,64,8741,8774,8741,8741,8774,8741,1.867335,1.874385,1.874385,1.867335,1.874385,1.874385
FIR.basic,256,8,2048,OK,1.549721e-6,1024,4430,4474,4430,4430,4474,4430,0.457756,0.462302,0.462302,0.457756,0.462302,0.462302
FIR.basic_restrict,256,8,2048,OK,1.549721e-6,1024,4430,4456,4430,4430,4456,4430,0.459605,0.462302,0.462302,0.459605,0.462302,0.462302
FIR.basic_dual_bank,256,8,2048,OK,1.549721e-6,1024,4430,4458,4430,4430,4458,4430,0.459399,0.462302,0.462302,0.459399,0.462302,0.462302
FIR.basic_aligned,256,8,2048,OK,1.549721e-6,1024,4430,4451,4430,4430,4451,4430,0.460121,0.462302,0.462302,0.460121,0.462302,0.462302
FIR.basic_loop_cnt,256,8,2048,OK,1.549721e-6,1024,4363,4394,4363,4363,4394,4363,0.466090,0.469402,0.469402,0.466090,0.469402,0.469402
FIR.circular,256,8,2048,OK,0.953674e-6,1024,24629,24629,24629,24629,24629,24629,0.083154,0.083154,0.083154,0.083154,0.083154,0.083154
FIR.circular_opt,256,8,2048,OK,1.549721e-6,1024,2238,2256,2238,2238,2256,2238,0.907801,0.915103,0.915103,0.907801,0.915103,0.915103
FIR.lib,256,8,2048,OK,1.549721e-6,1024,1153,1186,1153,1153,1186,1153,1.726813,1.776236,1.776236,1.726813,1.776236,1.776236
FIR.basic,256,16,4096,OK,1.549721e-6,512,6758,6802,6758,6758,6802,6758,0.602176,0.606097,0.606097,0.602176,0.606097,0.606097
