name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nanosec,max_mac_per_nanosec,avg_mac_per_nanosec
100 NOP,0,0,0,OK,0.000000e-6,1000,92,103,92,92,103,92,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000 NOP,0,0,0,OK,0.000000e-6,1000,992,1003,992,992,1003,992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FIR.basic_known_size,256,32,8192,OK,1.549721e-6,256,10994,11042,10994,10994,11042,10994,0.741895,0.745134,0.745134,0.741895,0.745134,0.745134
FIR.circular_known_size,256,32,8192,OK,1.549721e-6,256,9016,9052,9016,9016,9052,9016,0.904993,0.908607,0.908607,0.904993,0.908607,0.908607
FIR.basic,16,8,128,OK,0.834465e-6,1024,590,639,590,590,639,590,0.200313,0.216949,0.216949,0.200313,0.216949,0.216949
FIR.basic_restrict,16,8,128,OK,0.834465e-6,1024,590,629,590,590,629,590,0.203498,0.216949,0.216949,0.203498,0.216949,0.216949
FIR.basic_dual_bank,16,8,128,OK,0.834465e-6,1024,590,634,590,590,634,590,0.201893,0.216949,0.216949,0.201893,0.216949,0.216949
FIR.basic_aligned,16,8,128,OK,0.834465e-6,1024,590,634,590,590,634,590,0.201893,0.216949,0.216949,0.201893,0.216949,0.216949
FIR.basic_loop_cnt,16,8,128,OK,0.834465e-6,1024,523,554,523,523,554,523,0.231047,0.244742,0.244742,0.231047,0.244742,0.244742
FIR.circular,16,8,128,OK,0.715256e-6,1024,1589,1601,1589,1589,1601,1589,0.079950,0.080554,0.080554,0.079950,0.080554,0.080554
